,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooperator Name:,Idaho Department of Fish and Game - Colleen Moulton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enter only the calls listed below for each species in the Call Type columns.  If a different call was recorded enter this in the Other Call Type column,,,,,,
Location:,Idaho - multiple locations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  ,SORA-VIRA-AMBI-PBGR-WISN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,ObserverID,Observer 1,Observer 2,Observer 3,SurveyNumber,AirTempBefore,AirTempBeforeUnitOfMeasure,AirTempAfter,AirTempAfterUnitOfMeasureID,WindBefore,WindAfter,CloudCoverBefore,CloudCoverAfter,ObserveSiteID,TimeStart,SpeciesCode,Number,Before,Pass1,Pass2,Pass3,Pass4,Pass5,SORA,VIRA,AMBI,PBGR,WISN,After,CallType1,CallType2,CallType3,CallType4,CallType5,CallType6,CallType7,OtherCallType,Repeat,Distance,DistanceAccuracy,Noise,Comment
5/29/2008,"Alexander, Brad",X,Brad Alexander,X,1AM,39,6,55,6,2,0,80,90,GRL06,654,AMBI,1,0,0,0,1,0,0,0,0,0,0,0,0,pump-er-lunk,X,X,X,X,X,X,X,N,250,>,0,
5/14/2008,"Alexander, Brad",X,Brad Alexander,X,1PM,65,6,54,6,4,0,70,35,KWR12,1912,AMBI,1,0,0,0,0,0,0,0,1,1,1,1,0,pump-er-lunk,X,X,X,X,X,X,X,N,85,=,0,
5/14/2008,"Alexander, Brad",X,Brad Alexander,X,1PM,65,6,54,6,4,0,70,35,KWR13,1928,AMBI,1,0,1,0,1,1,0,0,1,0,0,0,0,pump-er-lunk,X,X,X,X,X,X,X,Y,200,>,1,
5/15/2008,"Alexander, Brad",X,Brad Alexander,X,1AM,44,6,62,6,0,0,100,90,KWR13,832,AMBI,1,0,0,1,0,0,0,0,0,0,0,0,0,pump-er-lunk,X,X,X,X,X,X,X,N,200,>,0,
5/15/2008,"Alexander, Brad",X,Brad Alexander,X,1AM,44,6,62,6,0,0,100,90,KWR15,900,AMBI,1,0,0,0,0,0,0,1,0,0,0,0,0,pump-er-lunk,X,X,X,X,X,X,X,N,200,>,1,
5/15/2008,"Alexander, Brad",X,Brad Alexander,X,1PM,,,,,,,,,GRL04,1806,AMBI,1,S,0,0,0,0,0,0,0,0,0,0,0,X,X,X,X,X,X,X,X,N,120,=,0,seen on way to point
5/29/2008,"Alexander, Brad",X,Brad Alexander,X,1AM,39,6,55,6,2,0,80,90,GRL01,525,AMBI,1,1,1,1,1,1,1,0,1,0,1,1,0,pump-er-lunk,X,X,X,X,X,X,X,N,60,=,0,heard 1 VIRA at the truck
5/29/2008,"Alexander, Brad",X,Brad Alexander,X,1AM,39,6,55,6,2,0,80,90,GRL01,525,AMBI,1,0,0,1,1,0,1,1,0,1,0,1,0,pump-er-lunk,X,X,X,X,X,X,X,N,250,>,0,
5/29/2008,"Alexander, Brad",X,Brad Alexander,X,1AM,39,6,55,6,2,0,80,90,GRL02,542,AMBI,1,1,1,1,1,1,1,1,1,0,1,0,0,pump-er-lunk,X,X,X,X,X,X,X,Y,70,=,0,
5/29/2008,"Alexander, Brad",X,Brad Alexander,X,1AM,39,6,55,6,2,0,80,90,GRL03,602,AMBI,1,0,0,0,1,0,0,1,0,1,0,0,0,pump-er-lunk,X,X,X,X,X,X,X,N,150,=,0,
5/29/2008,"Alexander, Brad",X,Brad Alexander,X,1AM,39,6,55,6,2,0,80,90,GRL05,635,AMBI,1,0,0,0,0,1,0,0,0,0,0,0,0,pump-er-lunk,X,X,X,X,X,X,X,N,150,=,0,
5/29/2008,"Alexander, Brad",X,Brad Alexander,X,1AM,39,6,55,6,2,0,80,90,GRL10,800,AMBI,1,0,0,0,1,0,0,0,0,0,0,0,0,pump-er-lunk,X,X,X,X,X,X,X,N,250,>,0,
